incident_county,incident_acres_burned,incident_cooperating_agencies,fire_started,fire_extinguished,days_of_fire
Butte,13.0,,2020-06-18,2020-06-18,0.0
Tulare,217.0,,2020-06-19,2020-06-22,3.0
Butte,89.0,,2020-06-20,2020-06-20,0.0
Modoc,11.0,,2020-06-20,,
Tuolumne,10.0,Stanislaus National Forest ,2020-06-21,2020-07-07,16.0
Monterey,195.0,,2020-06-21,2020-06-25,4.0
Monterey,52.0,,2020-06-21,2020-06-22,1.0
Tulare,1050.0,,2020-06-22,2020-06-26,4.0
Monterey,338.0,,2020-06-22,2020-06-23,1.0
San Luis Obispo,15.0,Paso Robles Fire Department ,2020-06-22,2020-06-23,1.0
Fresno,19.0,,2020-06-23,2020-06-26,3.0
Lassen,563.0,Bureau of Land Management Northern California District ,2020-06-23,2020-06-26,3.0
Lassen,210.0,Bureau of Land Management Northern California District – Susanville,2020-06-24,2020-06-26,2.0
Riverside,12.0,CAL FIRE Riverside County Fire ,2020-06-24,2020-06-27,3.0
Stanislaus,202.0,,2020-06-25,2020-06-26,1.0
San Luis Obispo,263.0,BLM California Central District ,2020-06-25,2020-06-28,3.0
Mono,280.0,BLM California Central District,2020-06-26,2020-07-02,6.0
Riverside,59.0,,2020-06-26,,
State of Nevada,2975.0,Humboldt-Toiyabe National Forest,2020-06-27,2020-07-06,9.0
Merced,2192.0,,2020-06-28,2020-07-03,5.0
San Luis Obispo,33.0,,2020-06-28,2020-06-28,0.0
Lassen,12.0,,2020-06-29,2020-06-29,0.0
Butte,136.0,,2020-06-30,2020-07-03,3.0
Trinity,62.0,Shasta Trinity National Forest,2020-06-30,2020-07-24,24.0
Kern,2900.0,,2020-07-01,2020-07-03,2.0
Los Angeles,648.0,Angeles National Forest ,2020-07-01,2020-07-05,4.0
Madera,597.0,,2020-07-02,2020-07-03,1.0
San Luis Obispo,157.0,,2020-07-03,2020-07-05,2.0
San Bernardino,62.0,USFS San Bernardino c,2020-07-03,2020-07-06,3.0
Alameda,108.0,,2020-07-04,2020-07-05,1.0
San Luis Obispo,588.0,,2020-07-05,,
Santa Clara,343.0,,2020-07-05,2020-07-06,1.0
Merced,100.0,,2020-07-05,,
Fresno,67.0,,2020-07-05,,
Santa Clara,5513.0,"Cooperating Agencies: Morgan Hill OES/EOC, Santa Clara County Sheriff, CalTrans, California Highway Patrol, CAL OES, PG&E, CALTRANS, CDCR, South County Fire Protection District, County Parks, California State Parks, Santa Clara Department of Public Health, Santa Clara Office of Emergency Management, Santa Clara Road Department, California Fish and Wildlife.",2020-07-05,2020-07-13,8.0
Los Angeles,1525.0,USFS Angeles National Forest,2020-07-05,2020-07-10,5.0
Contra Costa,298.0,,2020-07-06,,
San Joaquin,150.0,,2020-07-06,2020-07-06,0.0
Solano,75.0,Fairfield City Fire Department,2020-07-06,2020-07-09,3.0
El Dorado,32.0,"Cameron Park Fire Dept, Shingle Springs Rancheria Tribal Fire Dept, El Dorado Hills Fire Dept., Garden Valley Fire Protection Dist., Rescue Fire Protection Dist., Diamond Springs-El Dorado Fire Protection Dist., Bureau of Land Management, USFS, El Dorado County Sheriff’s Office, PG&E",2020-07-07,,
Colusa,25.0,USFS Mendocino National Forest,2020-07-07,2020-07-09,2.0
Riverside,10.0,CAL FIRE / Riverside County Fire ,2020-07-09,2020-07-09,0.0
Santa Clara,31.0,,2020-07-11,2020-07-11,0.0
Madera,108.0,"CAL FIRE, Madera County Sheriff’s Office, USFS, CHP, Madera County Roads, PG&E, North Fork Rancheria Mono Indians of California.",2020-07-11,2020-07-15,4.0
Riverside,2.0,,2020-07-13,2020-07-13,0.0
Butte,33.0,,2020-07-13,2020-07-15,2.0
Riverside,91.0,,2020-07-13,2020-07-15,2.0
Fresno,29667.0,"Cooperating Agencies: California Highway Patrol, Bureau of Land Management, Fresno County Sheriff, Fresno County Office of Emergency Services, Coalinga City Fire, Coalinga Police and Public Works, California Conservation Corp, California Department of Corrections and Rehabilitation.",2020-07-13,2020-07-26,13.0
San Benito,1508.0,,2020-07-15,2020-07-18,3.0
Mariposa,48.0,,2020-07-15,2020-07-18,3.0
Yuba,500.0,,2020-07-15,2020-07-15,0.0
Alameda,253.0,,2020-07-16,2020-07-19,3.0
San Bernardino,119.0,,2020-07-17,2020-07-20,3.0
Siskiyou,557.0,,2020-07-18,2020-07-28,10.0
Lassen,9564.0,"Cooperating Agencies: Lassen National Forest, California Highway Patrol, Lassen County Sheriff, CALTRANS, County of Lassen, EMSA CAL-MAT, Susanville Police Department, CAL FIRE Lassen-Modoc Unit",2020-07-18,2020-08-17,30.0
Shasta,340.0,"Cooperating Agencies: Shasta County Fire Dept., Millville Fire Protection District, Happy Valley Fire Protection District, CDCR, AMR, California National Guard, California Conservation Corps",2020-07-19,2020-07-27,8.0
Lassen,22634.0,"Cooperating Agencies: California Department of Transportation, Modoc County Sheriff’s Office, California Highway Patrol, Lassen County Public Health, Shasta County Public Health, Surprise Valley Electric, California Conservation Corps, California Department of Corrections and Rehabilitation, Lassen County Office of Emergency Services, Lassen County Department of Public Works, Modoc County Office of Emergency Services, National Weather Service, Bureau of Land Management, Sierra Pacific Industries, CAL FIRE Lassen-Modoc Unit, BLM Northern CA District",2020-07-20,2020-08-12,23.0
Humboldt,100.0,Hoopa Valley Indian Reservation,2020-07-20,2020-08-18,29.0
Butte,30.0,,2020-07-20,2020-07-21,1.0
Contra Costa,75.0,East Contra Costa Fire Protection District,2020-07-20,2020-07-20,0.0
San Bernardino,71.0,San Bernardino County Fire Department,2020-07-20,2020-07-21,1.0
Madera,135.0,,2020-07-20,2020-07-21,1.0
Mono,120.0,Inyo National Forest,2020-07-21,2020-08-12,22.0
"Siskiyou, Modoc",83261.0,Modoc National Forest ,2020-07-24,2020-08-20,27.0
Riverside,145.0,CAL FIRE / Riverside County Fire ,2020-07-24,2020-07-25,1.0
Colusa,138.0,,2020-07-24,2020-07-25,1.0
Riverside,250.0,,2020-07-25,2020-07-28,3.0
Sacramento,51.0,,2020-07-26,2020-07-26,0.0
Merced,788.0,,2020-07-27,,
Lassen,,USFS Plumas National Forest,2020-07-27,,
Los Angeles,321.0,Los Angeles County Fire Department,2020-07-27,2020-07-30,3.0
Humboldt,25.0,Samoa Fire Protection District,2020-07-27,2020-07-31,4.0
San Diego,100.0,,2020-07-28,,
San Luis Obispo,3022.0,,2020-07-28,2020-08-01,4.0
San Bernardino,185.0,,2020-07-29,2020-08-01,3.0
Sacramento,730.0,,2020-07-29,2020-07-30,1.0
Riverside,104.0,,2020-07-30,2020-07-31,1.0
Los Angeles,220.0,Angeles National Forest,2020-07-30,2020-08-14,15.0
Kern,233.0,,2020-07-30,2020-07-31,1.0
Riverside,,"United States Forest Service, CAL FIRE / Riverside County Fire , Cooperating Agencies ",2020-07-31,,
Modoc,,Bureau Land of Management Northern California District,2020-07-31,,
Tehama,684.0,Lassen National Forest,2020-08-01,2020-09-14,44.0
Los Angeles,178.0,Angeles National Forest ,2020-08-01,2020-09-14,44.0
San Luis Obispo,1962.0,"CAL FIRE San Luis Obispo Unit , Cooperating Agencies: SLO City Fire, USFS, SLO County Sheriff, Five Cities Fire, Morro Bay Fire, PG&E, CDCR, CCC, CAL OES, Big Bear Fire Dept.",2020-08-01,2020-08-09,8.0
El Dorado,36.0,,2020-08-02,2020-08-02,0.0
Riverside,52.0,CAL FIRE/ Riverside County Fire Department,2020-08-02,2020-08-04,2.0
Lassen,6882.0,Bureau of Land Management Nevada-Carson District,2020-08-02,2020-08-10,8.0
Colusa,560.0,"CAL FIRE Sonoma Lake Napa Unit, Cooperating Agencies: Indian Valley Fire & Rescue, Williams Fire Protection Authority, Maxwell Fire Protection District, Madison Fire Protection District, Willow Oak Fire Protection District, Colusa Fire Department, California Highway Patrol, and Colusa County Sheriffs Office.",2020-08-02,2020-08-05,3.0
Los Angeles,120.0,Los Angeles County Fire,2020-08-02,2020-08-04,2.0
Yuba,600.0,Beale Air Force Base,2020-08-02,2020-08-03,1.0
Los Angeles,200.0,"Los Angeles County Fire Department, USFS Angeles National Forest",2020-08-03,2020-08-06,3.0
Kern,7760.0,Kern County Fire,2020-08-03,2020-08-18,15.0
San Luis Obispo,,Bureau of Land Management - California,2020-08-03,,
Fresno,594.0,USFS Sierra National Forest,2020-08-04,2020-08-20,16.0
San Luis Obispo,280.0,,2020-08-04,2020-08-05,1.0
Kern,277.0,,2020-08-06,2020-08-07,1.0
Los Angeles,210.0,Angeles National Forest,2020-08-06,2020-09-14,39.0
Mendocino,177.0,Cooperating Agencies: California Department of Corrections and Mendocino County Sheriff’s Department,2020-08-10,2020-08-12,2.0
Placer,65.0,,2020-08-10,2020-08-11,1.0
Lassen,285.0,,2020-08-11,2020-08-12,1.0
Kern,424.0,Kern County Fire Department,2020-08-12,2020-08-12,0.0
Los Angeles,31089.0,"Angeles National Forest, Los Angeles County Fire Department, Cooperating Agencies: County of Los Angeles Sheriff’s Department, California Highway Patrol, County of Los Angeles Public Works, County of Los Angeles Animal Care & Control, County of Los Angeles Parks & Recreation, Red Cross, and Southern California Edison., Information on Preparing to Evacuate: LA County Fire Department Ready Set Go at: www.fire.lacounty.gov/rsg, Incident Information Line:, Incident Media Line:",2020-08-12,2020-09-28,47.0
San Luis Obispo,183.0,,2020-08-12,2020-08-12,0.0
Sacramento,512.0,"Cooperating Agencies: Sacramento Metropolitan Fire District., El Dorado County Fire Protection District",2020-08-13,2020-08-14,1.0
Los Angeles,4237.0,Angeles National Forest ,2020-08-13,2020-10-05,53.0
Sierra,,USFS Plumas National Forest,2020-08-13,,
Butte,110.0,,2020-08-14,2020-08-14,0.0
Sierra,47029.0,Tahoe National Forest,2020-08-14,2020-08-26,12.0
San Luis Obispo,312.0,CAL FIRE San Luis Obispo,2020-08-15,2020-08-19,4.0
Fresno,2121.0,"CAL FIRE Fresno-Kings County Fire, Cooperating Agencies: CCC, CDCR, BLM",2020-08-15,,
San Luis Obispo,20.0,CAL FIRE San Luis Obispo Unit ,2020-08-16,2020-08-17,1.0
Glenn,727.0,CAL FIRE Tehama-Glenn Unit,2020-08-16,2020-08-17,1.0
Monterey,48088.0,"Monterey County Sheriff, Cooperating Agencies: Monterey County Regional Fire, CAL OES, Monterey County Sheriff, CHP, Monterey County OES, Red Cross, Monterey County Farm Bureau, and PG&E",2020-08-16,,
"Mendocino, Humboldt, Trinity, Tehama, Glenn, Lake, Colusa",1032648.0,Mendocino National Forest,2020-08-16,2020-11-11,87.0
Nevada,705.0,"CAL FIRE Nevada-Yuba-Placer Unit, Nevada County Consolidated Fire Protection District",2020-08-17,2020-08-28,11.0
Mono,,USFS Inyo National Forest,2020-08-17,2020-08-28,11.0
Glenn,275.0,CAL FIRE Tehama-Glenn Unit,2020-08-17,2020-08-19,2.0
Ventura,3000.0,Ventura County Fire Department,2020-08-17,,
El Dorado,14.0,,2020-08-17,2020-08-19,2.0
"Santa Cruz, San Mateo",86509.0,"CAL FIRE San Mateo-Santa Cruz Unit, Cooperating Agencies: CAL FIRE - Santa Cruz County Sheriff’s Office, San Mateo’s County Sheriff’s Office, Santa Cruz County Fire Department, San Mateo County Fire Department",2020-08-16,2020-09-22,37.0
"Santa Clara, Alameda, Contra Costa, San Joaquin, Stanislaus",396624.0,"Cooperating Agencies: Alameda County FD / SO / Animal Services, Atwater City FD / City Manager, CA Dept of Water Resources, CA Dept of Corrections and Rehabilitation, Cal OES, CA Conservation Corps, CA Dept Parks & Recreation, CHP, San Jose City FD /PD, Contra Costa County FPD / SO / OES, DLA San Joaquin County FD, Dos Palos PD / City Manager, East Bay Regional Park, East Contra Costa FD, Fremont City FD / PD / Mayor, Gustine City PD / City Manager, Hollister/San Benito County FD, Livermore-Pleasanton FD / PD, Livingston City Manager, Los Banos FD / PD, Merced City FD, Merced County Fire / SO / Sheriff Animal Services / OES, Milpitas FD / PD, Morgan Hill PD, PG&E, Pleasanton PD, San Benito County SO, San Francisco Water Department, San Joaquin County SO, San Jose FD, San Jose Water Company, San Ramon Valley FD, Santa Clara County FD / SO / Animal Control / Parks, Santa Clara Valley Water District, SF Water Department, South San Joaquin County Fire Authority, Stanislaus County Consolidated FD / SO / OES, Tracy PD, Turlock Irrigation District, CAL FIRE Santa Clara Unit",2020-08-18,2020-10-01,44.0
Tuolumne,,Stanislaus National Forest,2020-08-18,,
Monterey,6905.0,"CAL FIRE San Benito-Monterey Unit, Cooperating Agencies: California Office of Emergency Services, Monterey County Sheriff, California Highway Patrol, Monterey County Office of Emergency Services, California Department of Corrections and Rehabilitation, Red Cross, Monterey County Sheriff",2020-08-18,,
Mendocino,62.0,"CAL FIRE Mendocino Unit, Cooperating Agencies: California Department of Corrections, Covelo Fire Department, Leggett Fire Department, Laytonville Fire Department and Mendocino County Sheriffs Office.",2020-08-18,2020-08-21,3.0
Calaveras,1789.0,,2020-08-18,,
Mendocino,820.0,"Cooperating Agencies: California Department of Corrections, Covelo Fire Department, Leggett Fire Department, Laytonville Fire Department and Mendocino County Sheriffs Office., CAL FIRE Mendocino Unit",2020-08-18,2020-08-21,3.0
"Napa, Sonoma, Lake, Yolo, Solano",363220.0,,2020-08-17,2020-10-02,46.0
"Tehama, Glenn",19609.0,"Cooperating Agencies: Glenn County Sheriff's Office, Tehama County Sheriff's Office, CA Conservation Corps, CA State Parks, CA Dept. of Water Resources, Glenn County Public Health, Tehama County Public Health, CA Highway Patrol, Sierra Pacific Industries, PG&E, Ca Dept. of Corrections and Rehabilitation, BLM, CAL OES, Glenn County OES, Tehama County OES, Shasta Trinity National Forest ",2020-08-19,2020-10-09,51.0
Calaveras,55.0,,2020-08-19,2020-08-19,0.0
Tuolumne,2857.0,,2020-08-20,2020-08-30,10.0
San Diego,45.0,,2020-08-20,2020-08-22,2.0
Santa Clara,143.0,,2020-08-21,2020-08-26,5.0
Plumas,29570.0,Plumas National Forest,2020-08-22,2020-09-09,18.0
Lassen,,BLM Northern CA District,2020-08-23,2020-09-16,24.0
Marin,4929.0,"Point Reyes National Seashore National Park Service, Marin County Evacuation Map",2020-08-18,2020-10-02,45.0
San Luis Obispo,53.0,,2020-08-25,,
Lassen,567.0,BLM Northern CA District Bureau of Land Management,2020-08-26,2020-08-31,5.0
Placer,9.0,,2020-08-26,,
Los Angeles,290.0,,2020-08-28,2020-08-30,2.0
Madera,688.0,,2020-08-30,2020-08-30,0.0
Trinity,,Shasta Trinity National Forest,2020-09-01,2020-09-10,9.0
Mono,,Humboldt-Toiyabe National Forest,2020-09-01,,
Lake,13.0,,2020-09-01,2020-09-02,1.0
"Fresno, Madera",,Sierra National Forest ,2020-09-04,,
"San Bernardino, Riverside",22744.0,,2020-09-05,2020-11-16,72.0
San Diego,16390.0,"Cleveland National Forest , Cleveland National Forest, Cooperating Agencies: San Diego Sheriff’s Department, San Diego Office of Emergency Services, California Office of Emergency Services, California Highway Patrol, US Fish and Wildlife Services, Bureau of Indian Affairs, Bureau of Land Management, American Red Cross, Viejas Reservation",2020-09-05,2020-09-24,19.0
Mendocino,1100.0,"CAL FIRE Mendocino Unit , Cooperating Agencies: California Department of Corrections and Rehabilitation, Mendocino County Sheriffs Depatment, Brooktrails Fire and Little Lake Fire. ",2020-09-07,2020-09-14,7.0
El Dorado,,Eldorado National Forest,2020-09-08,2020-11-09,62.0
Yuba,1311.0,"Cooperating Agencies: CHP, LINDA FIRE, BEALE AFB, OLIVEHURST FIRE, FOOTHILL FIRE",2020-09-09,2020-09-14,5.0
Stanislaus,45.0,,2020-09-08,2020-09-09,1.0
Siskiyou,45.0,CAL FIRE Siskiyou Unit,2020-09-09,2020-09-17,8.0
Siskiyou,50.0,,2020-09-11,2020-09-21,10.0
Fresno,1185.0,Sierra National Forest ,2020-09-12,2020-11-09,58.0
Siskiyou,2188.0,Klamath National Foret ,2020-09-16,2020-09-30,14.0
Santa Barbara,111.0,,2020-09-16,2020-09-18,2.0
Riverside,,San Bernardino National Forest,2020-09-17,,
"Napa, Sonoma",67484.0,"CAL FIRE LNU, Cooperating Agencies: Napa County Fire Department, Santa Rosa PD, Santa Rosa FD, Sonoma Valley Fire Authority, Sonoma County Fire, City of Calistoga, AMR, BLM, OES, PG&E, CDCR, CHP, CALTRANS, & State Parks",2020-09-27,2020-10-20,23.0
"Shasta, Tehama",56338.0,"CAL FIRE Shasta-Trinity Unit , Cooperating Agencies: Shasta County Sheriff, Tehama County SO, PG&E, CAL TRANS, CHP, Sierra Pacific, Mountain Gate Fire Protection District, Shasta County Fire Department, Shasta County Public Works, City of Redding Fire Department, Anderson Fire Department, Cottonwood Fire Protection District, Weaverville Fire Protection District, National Guard, California Conservation Corps, California Department of Corrections, BLM, California State Parks, Cal OES, National Parks, USFS",2020-09-27,2020-10-13,16.0
Los Angeles,230.0,Angeles National Forest ,2020-09-28,2020-09-30,2.0
Riverside,227.0,Riverside County Fire Department,2020-09-29,2020-09-30,1.0
Amador,48.0,"Cooperating Agencies: Amador Sheriff’s Office; CHP; Ione FD, Sutter Creek Fire Protection Dist; Amador Fire Protection Dist., Lockwood Fire Protection Dist; El Dorado Hills FD; Sac Metro Fire Dist.; Sacramento FD; Buena Vista Rancheria FD; Cameron Park FD; PG&E",2020-09-30,2020-10-03,3.0
Sacramento,20.0,,2020-10-03,2020-10-04,1.0
Amador,21.0,,2020-10-04,2020-10-06,2.0
Yuba,56.0,,2020-10-07,2020-10-07,0.0
Contra Costa,30.0,,2020-10-11,2020-10-12,1.0
Calaveras,21.0,,2020-10-13,2020-10-15,2.0
San Bernardino,170.0,,2020-10-15,2020-10-16,1.0
El Dorado,15.0,,2020-10-18,2020-10-21,3.0
Butte,6.0,City of Oroville Fire Department,2020-10-22,2020-10-22,0.0
Humboldt,102.0,,2020-10-23,,
Napa,61.0,,2020-10-23,2020-10-25,2.0
"Shasta, Tehama",275.0,,2020-10-25,,
Shasta,133.0,,2020-10-25,,
Shasta,5.0,,2020-10-25,2020-10-25,0.0
Orange,12466.0,Orange County Fire Authority,2020-10-26,2020-11-07,12.0
Placer,,USFS El Dorado National Forest,2020-10-26,2020-11-09,14.0
Orange,13964.0,Orange County Fire Authority,2020-10-26,2020-11-07,12.0
"Riverside, San Bernardino",150.0,"CAL FIRE / Riverside County Fire , San Bernardino County Fire Department",2020-11-01,,
Los Angeles,131.0,,2020-11-06,2020-11-07,1.0
,49.0,,2020-11-17,2020-11-17,0.0
Riverside,1087.0,"Cooperating Agencies: CAL FIRE/Riverside, City of Corona FD, City of Hemet FD, Riverside City FD, Riverside County Fire Department, Calimesa Fire Department, Soboba Fire Department, ",2020-12-01,2020-12-12,11.0
Riverside,200.0,"Cooperating Agencies: CAL FIRE/Riverside, CAL FIRE/San Diego, City of Hemet FD, Riverside County Fire Department, Riverside County Emergency Management Department, Riverside County Sheriff’s Office,",2020-12-03,,
Orange,6686.0,"Orange County Fire Authority , Orange County Sheriff's Office",2020-12-02,2020-12-10,8.0
San Diego,,,2020-12-02,2020-12-03,1.0
Lassen,24.0,,2020-12-03,2020-12-03,0.0
Ventura,174.0,Ventura County Fire Department ,2020-12-07,2020-12-08,1.0
Riverside,1933.0,,2020-12-13,2020-12-14,1.0
Ventura,250.0,Ventura County Fire Department ,2021-01-14,2021-01-15,1.0
Madera,23.0,,2021-01-19,,
Santa Cruz,20.0,,2021-01-19,,
San Mateo,15.0,,2021-01-18,,
,22.0,,2021-01-18,,
,685.0,Kern County Fire Department,2021-01-19,2021-01-20,1.0
Riverside,43.0,CAL FIRE/ Riverside County Fire Department,2021-01-19,2021-01-20,1.0
,184.0,Los Angeles County Fire Department ,2021-01-19,2021-01-22,3.0
,20.0,,2021-01-19,2021-01-22,3.0
,37.0,,2021-01-19,2021-01-22,3.0
